Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort	Comb Sorter	CockTail Sort
50	85154.59	38084.77	176877.88	84885.1	91188.7	100597.1
100	173835.19	67954.32	375403.72	72406.2	71480.32	172875.05
150	118101.04	49214.49	27707.715	55310.69	20240.926	100079.75
200	127541.59	47230.156	28357.83	22622.895	19045.645	117361.2
250	338400.84	120981.36	71471.78	49738.324	42883.03	317602.0
300	930756.0	322351.1	197563.56	122933.58	105391.2	873003.25
350	1233751.5	429202.56	270946.9	150095.98	125146.61	1173990.8
400	1618794.9	549617.25	344214.88	170490.88	146242.94	1506663.5
450	1626084.0	547280.06	348720.28	159036.23	136703.98	1514308.1
500	1838681.2	603534.06	383058.75	164561.45	142470.94	1728485.2
550	1986028.5	645298.4	411378.03	162333.36	142269.98	1864787.9
600	2460757.0	823440.06	525226.06	195876.5	168639.12	2333959.8
650	4086266.0	1302345.0	839577.75	296467.28	260261.92	3857762.5
700	2666139.0	848992.5	547002.3	179852.16	158168.02	2499903.8
750	5392876.0	1757895.6	1130924.4	345273.28	302989.03	5101651.0
800	6047030.0	1964789.9	1272484.4	374999.62	326946.22	5670172.0
850	6866851.0	2191032.0	1426905.5	397447.16	351583.38	6383069.5
900	5428269.5	1782986.2	1165484.6	309192.1	274757.25	5171289.5
950	8552304.0	2750288.8	1789796.1	455593.16	400541.44	8015469.0
1000	8282864.0	2640439.5	1762328.1	429596.0	377807.03	7855467.0
